,Acc_X,Acc_Y,Acc_Z,EDA_Level,Heart_Rate,Skin_Temperature,id,datetime,Stress_Level
34,17.0,-23.0,4.0,6.854573,99.72,31.21,15,2020-07-08 14:03:01.062500096,2.0
6780,17.0,-71.0,-1.0,5.569288,80.73,31.53,15,2020-07-08 14:06:31.875000064,2.0
11191,17.0,66.0,21.0,4.105629,94.72,31.63,15,2020-07-08 14:08:49.718749952,2.0
12356,17.0,30.0,55.0,4.172266,86.57,31.73,15,2020-07-08 14:09:26.124999936,2.0
12518,17.0,35.0,57.0,4.295289,85.0,31.63,15,2020-07-08 14:09:31.187500032,2.0
12578,17.0,31.0,45.0,4.194052,84.22,31.65,15,2020-07-08 14:09:33.062500096,2.0
26421,17.0,-39.0,57.0,1.613726,74.37,34.15,15,2020-07-08 13:32:45.624999936,2.0
28581,17.0,35.0,45.0,0.0,93.83,34.21,15,2020-07-08 13:33:53.124999936,2.0
28624,17.0,32.0,49.0,0.0,93.75,34.39,15,2020-07-08 13:33:54.468750080,2.0
28751,17.0,15.0,64.0,0.0,94.08,34.55,15,2020-07-08 13:33:58.437499904,2.0
30160,17.0,0.0,61.0,0.333186,79.05,34.29,15,2020-07-08 13:34:42.468750080,2.0
34895,17.0,41.0,46.0,3.418957,91.67,34.03,15,2020-07-08 13:37:10.437499904,2.0
34907,17.0,40.0,41.0,3.46509,91.67,34.03,15,2020-07-08 13:37:10.812499968,2.0
34908,17.0,41.0,42.0,3.46509,91.67,34.03,15,2020-07-08 13:37:10.843749888,2.0
34909,17.0,41.0,46.0,3.46509,91.67,34.03,15,2020-07-08 13:37:10.875000064,2.0
34910,17.0,42.0,47.0,3.46509,91.67,34.03,15,2020-07-08 13:37:10.906249984,2.0
34912,17.0,43.0,43.0,3.46509,91.67,34.03,15,2020-07-08 13:37:10.968750080,2.0
34925,17.0,42.0,46.0,3.515068,92.28,34.09,15,2020-07-08 13:37:11.375000064,2.0
34927,17.0,40.0,42.0,3.515068,92.28,34.09,15,2020-07-08 13:37:11.437499904,2.0
34928,17.0,40.0,44.0,3.515068,92.28,34.09,15,2020-07-08 13:37:11.468750080,2.0
34933,17.0,42.0,44.0,3.520194,92.28,34.09,15,2020-07-08 13:37:11.624999936,2.0
34934,17.0,43.0,43.0,3.520194,92.28,34.09,15,2020-07-08 13:37:11.656250112,2.0
34939,17.0,41.0,41.0,3.51635,92.28,34.09,15,2020-07-08 13:37:11.812499968,2.0
34947,17.0,42.0,44.0,3.497127,92.88,34.11,15,2020-07-08 13:37:12.062500096,2.0
34985,17.0,44.0,44.0,3.308749,93.53,34.13,15,2020-07-08 13:37:13.249999872,2.0
39467,17.0,42.0,43.0,4.770059,80.85,33.87,15,2020-07-08 13:39:33.312499968,2.0
41856,17.0,48.0,40.0,5.543659,80.67,34.18,15,2020-07-08 13:40:47.968750080,2.0
41860,17.0,51.0,26.0,5.701282,80.67,34.18,15,2020-07-08 13:40:48.093750016,2.0
41863,17.0,52.0,34.0,5.701282,80.67,34.18,15,2020-07-08 13:40:48.187500032,2.0
47086,17.0,50.0,45.0,5.242927,89.38,34.16,15,2020-07-08 13:43:31.406249984,2.0
47153,17.0,44.0,35.0,5.354416,90.37,34.27,15,2020-07-08 13:43:33.500000000,2.0
47158,17.0,47.0,36.0,5.354416,90.37,34.27,15,2020-07-08 13:43:33.656250112,2.0
47160,17.0,46.0,36.0,5.354416,90.37,34.27,15,2020-07-08 13:43:33.718749952,2.0
47162,17.0,48.0,34.0,5.107089,90.37,34.27,15,2020-07-08 13:43:33.781250048,2.0
47187,17.0,44.0,34.0,5.253179,90.9,34.31,15,2020-07-08 13:43:34.562500096,2.0
55388,17.0,58.0,18.0,3.960371,85.23,33.68,15,2020-07-08 13:47:50.843749888,2.0
59664,17.0,31.0,-62.0,3.488157,82.53,33.05,15,2020-07-08 13:50:04.468750080,2.0
76393,17.0,35.0,50.0,5.062237,95.92,32.89,15,2020-07-08 13:15:47.218749952,2.0
76394,17.0,37.0,47.0,5.027637,95.92,32.89,15,2020-07-08 13:15:47.249999872,2.0
77301,17.0,44.0,35.0,5.514184,94.15,32.97,15,2020-07-08 13:16:15.593750016,2.0
77304,17.0,42.0,46.0,5.514184,94.15,32.97,15,2020-07-08 13:16:15.687500032,2.0
77322,17.0,45.0,39.0,5.205347,94.07,32.99,15,2020-07-08 13:16:16.249999872,2.0
77328,17.0,44.0,45.0,5.205347,94.07,32.99,15,2020-07-08 13:16:16.437499904,2.0
77388,17.0,44.0,38.0,5.01825,93.78,33.0,15,2020-07-08 13:16:18.312499968,2.0
81052,17.0,-75.0,-22.0,5.097144,94.68,33.57,15,2020-07-21 13:23:12.781250048,0.0
81062,17.0,-27.0,-21.0,5.407282,94.6,33.59,15,2020-07-21 13:23:13.093750016,0.0
81068,17.0,-49.0,-9.0,5.494429,94.6,33.59,15,2020-07-21 13:23:13.281250048,0.0
81452,17.0,38.0,-57.0,5.304758,95.27,33.66,15,2020-07-21 13:23:25.281250048,0.0
84076,17.0,-43.0,-44.0,3.981565,103.2,33.87,15,2020-07-21 13:24:47.281250048,0.0
84110,17.0,-42.0,-45.0,3.905502,103.23,33.91,15,2020-07-21 13:24:48.343749888,0.0
84111,17.0,-43.0,-44.0,3.905502,103.23,33.91,15,2020-07-21 13:24:48.375000064,0.0
84152,17.0,-44.0,-43.0,3.826045,103.27,33.95,15,2020-07-21 13:24:49.656250112,0.0
84153,17.0,-42.0,-43.0,3.826045,103.27,33.95,15,2020-07-21 13:24:49.687500032,0.0
84169,17.0,-44.0,-43.0,3.78119,103.27,33.93,15,2020-07-21 13:24:50.187500032,0.0
84170,17.0,-44.0,-43.0,3.78119,103.27,33.93,15,2020-07-21 13:24:50.218749952,0.0
84171,17.0,-44.0,-43.0,3.767093,103.27,33.93,15,2020-07-21 13:24:50.249999872,0.0
84180,17.0,-44.0,-43.0,3.754277,103.27,33.93,15,2020-07-21 13:24:50.531249920,0.0
84181,17.0,-43.0,-43.0,3.754277,103.27,33.93,15,2020-07-21 13:24:50.562500096,0.0
84212,17.0,-44.0,-41.0,3.697889,103.3,33.97,15,2020-07-21 13:24:51.531249920,0.0
84222,17.0,-44.0,-44.0,3.65816,103.3,33.97,15,2020-07-21 13:24:51.843749888,0.0
84223,17.0,-43.0,-44.0,3.65816,103.3,33.97,15,2020-07-21 13:24:51.875000064,0.0
84225,17.0,-43.0,-44.0,3.65816,103.3,33.97,15,2020-07-21 13:24:51.937499904,0.0
84226,17.0,-44.0,-44.0,3.65816,103.3,33.97,15,2020-07-21 13:24:51.968750080,0.0
84227,17.0,-44.0,-44.0,3.651752,103.25,33.97,15,2020-07-21 13:24:52.000000000,0.0
84228,17.0,-43.0,-43.0,3.651752,103.25,33.97,15,2020-07-21 13:24:52.031249920,0.0
84238,17.0,-44.0,-43.0,3.635092,103.25,33.97,15,2020-07-21 13:24:52.343749888,0.0
84239,17.0,-44.0,-43.0,3.635092,103.25,33.97,15,2020-07-21 13:24:52.375000064,0.0
84240,17.0,-44.0,-43.0,3.635092,103.25,33.97,15,2020-07-21 13:24:52.406249984,0.0
84241,17.0,-44.0,-43.0,3.635092,103.25,33.97,15,2020-07-21 13:24:52.437499904,0.0
84243,17.0,-43.0,-43.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.500000000,0.0
84244,17.0,-43.0,-43.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.531249920,0.0
84245,17.0,-44.0,-43.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.562500096,0.0
84246,17.0,-44.0,-43.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.593750016,0.0
84249,17.0,-45.0,-42.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.687500032,0.0
84250,17.0,-45.0,-43.0,3.619714,103.25,33.97,15,2020-07-21 13:24:52.718749952,0.0
84251,17.0,-44.0,-42.0,3.61715,103.25,33.97,15,2020-07-21 13:24:52.750000128,0.0
84252,17.0,-44.0,-42.0,3.61715,103.25,33.97,15,2020-07-21 13:24:52.781250048,0.0
84253,17.0,-44.0,-42.0,3.61715,103.25,33.97,15,2020-07-21 13:24:52.812499968,0.0
